samp_country,category,fermented_food_type,sample_id,absolute-filepath
Thailand,fermented fish,Fermented_fish_(Pla_Som)_from_grass_carp,M010,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/M010/b2718cde-3b27-41bd-9f9f-3fed0e4eca43.fasta
Thailand,fermented fish,Fermented_fish_(Pla_Som)_from_grass_carp,M010,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/M010/62cf5094-6dea-4228-b716-487ea048da28.fasta
Thailand,fermented fish,Fermented_fish_(Pla_Som)_from_grass_carp,M010,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/M010/740128c5-63e9-48a4-ad62-a1119673e137.fasta
Thailand,fermented fish,Fermented_fish_(Pla_Som)_from_grass_carp,M010,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/M010/ef5d480e-1869-418c-8572-d9fd3e96d74c.fasta
Thailand,fermented fish,Fermented_fish_(Pla_Som)_from_grass_carp,M010,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/M010/a7b74e80-b6ae-469f-a26a-fde8eec6e74d.fasta
Thailand,fermented fish,Fermented_fish_(Pla_Som)_from_grass_carp,M010,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/M010/cd05736c-19d0-4868-86ac-7df57f983b6d.fasta
Thailand,fermented fish,Fermented_fish_(Pla_Som)_from_grass_carp,M010,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/M010/37c361a6-ffeb-4c58-95d8-f19dd4c9888f.fasta
Thailand,fermented fish,Fermented_fish_(Pla_Som)_from_grass_carp,M010,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/M010/f7bf0d59-f1a9-4858-845c-f556987194cd.fasta
Thailand,fermented fish,Fermented_fish_(Pla_Som)_from_grass_carp,M010,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/M010/1a724ebe-bb84-481c-b342-700b374efb70.fasta
Thailand,fermented fish,Fermented_fish_(Pla_Som)_from_grass_carp,M010,/home/jovyan/Interplanetary_Microbiome/data/raw/Illumina_MAGs/M010/13ec7f6e-09ef-4105-813f-2966c7979ced.fasta
